dex_number	internal_index	species_label	species_name	form_name	form_type	lineage_id	evo_stage	evolves_from	evolves_into	evo_methods	evo_params	evo_item_obtainable	type1	type2	hp	atk	defense	spa	spd	spe	bst	ability1	ability2	ability_hidden	held_item1	held_item2	levelup_moves	n_levelup	tm_moves	n_tm	egg_moves	n_egg	tutor_moves	event_moves	availability	n_availability	earliest_level	earliest_checkpoint	is_starter	wild_obtainable	one_time_only	missable	siblings	is_cosmetic_form	source_files	confidence	notes	reachable
6	1496	SPECIES_CHARIZARD_GMAX	Charizard	Gmax	gigantamax	1496	1	NONE	NONE	NONE	NONE	UNK	Fire	Flying	78	84	78	109	85	100	534	Blaze	NONE	Solar Power	NONE	NONE	742:0,742:1,510:1,394:1,257:1,337:1,421:1,403:1,10:1,45:1,206:5,52:7,280:9,246:12,424:15,82:17,184:21,9:24,481:28,163:41,53:47,83:51,517:56,349:60,257:71,394:77	26	337,46,257,311,89,91,280,396,115,53,126,317,432,211,542,315,355,411,403,843,406,261,231,421,9,157,332,525,727,523,7,742,512,743,535,434,15,19,70,249,526,612,488,366,349,14,424,34,241,76,299,595,264,394,850,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	70	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	6,907,908	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
7	7	SPECIES_SQUIRTLE	Squirtle	NONE	base	7	1	NONE	EVO_LEVEL:8:16	EVO_LEVEL	level=16	UNK	Water		44	48	65	50	64	43	314	Torrent	NONE	Rain Dish	NONE	NONE	33:1,206:1,39:4,145:7,229:10,352:13,44:16,252:19,197:22,352:25,401:28,130:31,334:34,240:37,56:40	15	740,428,58,59,56,196,311,91,280,396,115,317,406,231,360,503,8,57,70,249,127,526,612,334,809,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	243,114,54,175,287,300,281,330,252,392,453,323,362,406,396,719	16	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|gBattlePyramidWildMonHeaders:grass:5-5:10:NONE|Fallarbor Town Move Relearners House:egg:1-1:UNK:Trade Blue Shard (random species)|Littleroot Town:starter:5-5:100:game start, choose one	13	1	01_Pre-Roxanne	True	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
8	8	SPECIES_WARTORTLE	Wartortle	NONE	base	7	2	7	EVO_LEVEL:9:36	EVO_LEVEL	level=36	UNK	Water		59	63	80	65	80	58	405	Torrent	NONE	Rain Dish	NONE	NONE	196:0,206:1,110:1,196:1,33:1,55:1,39:4,145:7,229:10,352:13,44:17,252:19,197:22,401:33,130:37,334:41,240:45,56:49	18	740,428,58,59,56,196,311,91,280,396,115,317,406,231,360,503,8,57,70,249,127,526,612,334,809,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	NONE	0	UNK	UNK	gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:5:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:4:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:1:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE|gBattlePyramidWildMonHeaders:grass:5-5:20:NONE	10	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
9	9	SPECIES_BLASTOISE	Blastoise	NONE	base	7	3	8	NONE	NONE	NONE	UNK	Water		79	83	100	85	105	78	530	Torrent	NONE	Rain Dish	NONE	NONE	503:0,206:1,430:1,55:1,503:1,196:1,39:4,55:7,110:10,145:13,44:17,252:19,229:20,197:22,352:25,401:33,130:40,58:44,334:47,240:54,56:60,504:82	22	740,46,428,58,59,56,196,311,89,91,280,396,115,317,664,411,406,231,360,399,157,503,430,525,523,8,704,57,70,249,127,526,612,334,809,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	54	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	909,1495	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
9	909	SPECIES_BLASTOISE_MEGA	Blastoise	Mega	mega	909	1	NONE	NONE	NONE	NONE	UNK	Water		79	103	120	135	115	78	630	Mega Launcher	Mega Launcher	Mega Launcher	NONE	NONE	503:0,206:1,430:1,55:1,503:1,196:1,39:4,55:7,110:10,145:13,44:17,252:19,229:20,197:22,352:25,401:33,130:40,58:44,334:47,240:54,56:60,504:82	22	740,46,428,58,59,56,196,311,89,91,280,396,115,317,664,411,406,231,360,399,157,503,430,525,523,8,704,57,70,249,127,526,612,334,809,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	54	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	9,1495	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
9	1495	SPECIES_BLASTOISE_GMAX	Blastoise	Gmax	gigantamax	1495	1	NONE	NONE	NONE	NONE	UNK	Water		79	83	100	85	105	78	530	Torrent	NONE	Rain Dish	NONE	NONE	503:0,206:1,430:1,55:1,503:1,196:1,39:4,55:7,110:10,145:13,44:17,252:19,229:20,197:22,352:25,401:33,130:40,58:44,334:47,240:54,56:60,504:82	22	740,46,428,58,59,56,196,311,89,91,280,396,115,317,664,411,406,231,360,399,157,503,430,525,523,8,704,57,70,249,127,526,612,334,809,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	54	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	9,909	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
10	10	SPECIES_CATERPIE	Caterpie	NONE	base	10	1	NONE	EVO_LEVEL:11:7	EVO_LEVEL	level=7	UNK	Bug		45	30	35	20	20	45	195	Shield Dust	NONE	Run Away	NONE	NONE	33:1,81:1,450:7	3	527,450	2	NONE	0	UNK	UNK	MAP_PETALBURG_WOODS:grass:5-6:20:NONE	1	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
11	11	SPECIES_METAPOD	Metapod	NONE	base	10	2	10	EVO_LEVEL:12:10	EVO_LEVEL	level=10	UNK	Bug		50	20	55	25	25	30	205	Shed Skin	NONE	NONE	NONE	NONE	106:0,106:1,450:1	3	527,450,334	3	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
12	12	SPECIES_BUTTERFREE	Butterfree	NONE	base	10	3	11	NONE	NONE	NONE	UNK	Bug	Flying	60	45	50	95	80	70	400	Compound Eyes	NONE	Tinted Lens	NONE	Silver Powder	16:0,16:1,93:1,810:1,60:11,77:13,78:13,79:13,522:16,318:19,48:23,219:25,314:27,18:29,405:31,476:35,445:37,366:41,403:43,483:58	20	527,202,94,247,115,100,432,577,168,542,355,412,403,474,248,332,369,742,512,19,148,450,334,366,241,76,405,240,318,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	1497	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
12	1497	SPECIES_BUTTERFREE_MEGA	Butterfree	Mega	mega	1497	1	NONE	NONE	NONE	NONE	UNK	Bug	Flying	60	45	100	140	100	80	525	Compound Eyes	Compound Eyes	Compound Eyes	NONE	Silver Powder	16:0,16:1,93:1,810:1,60:11,77:13,78:13,79:13,522:16,318:19,48:23,219:25,314:27,18:29,405:31,476:35,445:37,366:41,403:43,483:58	20	527,202,94,247,115,100,432,577,168,542,355,412,403,474,248,332,369,742,512,19,148,450,334,366,241,76,405,240,318,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	12	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
13	13	SPECIES_WEEDLE	Weedle	NONE	base	13	1	NONE	EVO_LEVEL:14:7	EVO_LEVEL	level=7	UNK	Bug	Poison	40	35	30	20	20	50	195	Shield Dust	NONE	Run Away	NONE	NONE	40:1,81:1,450:7	3	527,450	2	NONE	0	UNK	UNK	MAP_PETALBURG_WOODS:grass:5-6:10:NONE	1	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
14	14	SPECIES_KAKUNA	Kakuna	NONE	base	13	2	13	EVO_LEVEL:15:10	EVO_LEVEL	level=10	UNK	Bug	Poison	45	25	50	25	25	35	205	Shed Skin	NONE	NONE	NONE	NONE	106:0,106:1,450:1	3	527,450,334	3	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
15	15	SPECIES_BEEDRILL	Beedrill	NONE	base	13	3	14	NONE	NONE	NONE	UNK	Bug	Poison	65	90	40	45	80	75	395	Swarm	NONE	Sniper	NONE	Poison Barb	41:0,41:1,31:1,810:1,440:14,228:17,116:20,474:23,372:26,390:29,42:32,398:35,97:38,283:41,565:44,224:100	16	527,202,280,115,188,432,168,355,474,282,404,398,332,369,441,742,512,15,19,148,249,450,334,366,529,14,42,241,76,224,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	45	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	910	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
15	910	SPECIES_BEEDRILL_MEGA	Beedrill	Mega	mega	910	1	NONE	NONE	NONE	NONE	UNK	Bug	Poison	65	150	40	15	80	145	495	Adaptability	Adaptability	Adaptability	NONE	Poison Barb	41:0,41:1,31:1,810:1,440:14,228:17,116:20,474:23,372:26,390:29,42:32,398:35,97:38,283:41,565:44,224:100	16	527,202,280,115,188,432,168,355,474,282,404,398,332,369,441,742,512,15,19,148,249,450,334,366,529,14,42,241,76,224,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	45	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	15	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by form change from an obtainable sibling	via_form_change
16	16	SPECIES_PIDGEY	Pidgey	NONE	base	16	1	NONE	EVO_LEVEL:17:16	EVO_LEVEL	level=16	UNK	Normal	Flying	40	45	40	35	35	56	251	Frisk	NONE	No Guard	NONE	NONE	33:1,297:5,16:9,98:13,36:15,18:17,216:21,355:23,97:29,19:33,366:41,119:45,403:49,542:53	14	257,115,432,168,211,542,355,403,332,365,369,742,413,19,526,366,241,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	33	228,185,193,211,314,403,253,432	8	UNK	UNK	MAP_ROUTE101:grass:2-5:10:NONE|MAP_ROUTE132:surf:5-35:60:NONE|MAP_ROUTE132:surf:10-30:30:NONE|MAP_RUSTBORO_CITY:grass:5-6:10:NONE|MAP_RUSTBORO_CITY:grass:5-6:10:NONE	5	2	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
17	17	SPECIES_PIDGEOTTO	Pidgeotto	NONE	base	16	2	16	EVO_LEVEL:18:36	EVO_LEVEL	level=36	UNK	Normal	Flying	63	60	55	50	50	71	349	Frisk	NONE	No Guard	NONE	NONE	742:0,33:1,742:1,297:5,16:9,98:13,36:15,18:17,216:23,355:26,97:32,403:37,119:40,366:47,542:62	15	257,115,432,168,211,542,355,403,332,365,369,742,413,19,526,366,241,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	33	NONE	0	UNK	UNK	MAP_ROUTE132:surf:25-30:1:NONE	1	25	03_Pre-Brawly	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
