trainer_id	trainer_name	trainer_class	team_variant	role	location	battle_order_index	difficulty_mode	battle_format	field_effect	roster_size	level_mode	level_min	level_max	roster	roster_species	n_unresolved_species	uses_held_items	n_mega	offensive_types	cannot_hit_neutral	type_resists_whole_team	shared_weaknesses	speed_fastest	speed_slowest	speed_median	source_file	confidence	notes
Sinnoh Leaders:FANTINA:26	FANTINA	Sinnoh Leaders	NONE	Sinnoh Leaders	Route 117	26	NORMAL (MGM off)	single	NONE	5	scales_to_player	UNK	UNK	Mismagius:Player's Highest Lv -1:Timid:Levitate:Wise Glasses:6 HP / 252 SpA / 252 Spe:NONE:Thunderbolt;Shadow Ball;Dazzling Gleam;Mystical Fire|Cursola:Player's Highest Lv -1:Modest:Unburden:Sitrus Berry:6 HP / 252 SpA / 252 Spe:NONE:Shadow Ball;Power Gem;Strength Sap;Earth Power|Gallade:Player's Highest Lv -1:Jolly:Justified:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:Zen Headbutt;Brick Break;Bulk Up;Shadow Sneak|Zoroark:Player's Highest Lv:Timid:Illusion:Expert Belt:6 HP / 252 SpA / 252 Spe:NONE:Dark Pulse;Sludge Bomb;Flamethrower;Extrasensory|Banette-Mega:Player's Highest Lv:Jolly:Prankster:Banettite:6 HP / 252 Atk / 252 Spe:NONE:Knock Off;Shadow Claw;Shadow Sneak;Return	429,864,475,571,939	0	True	0	Dark,Electric,Fairy,Fighting,Fire,Ghost,Ground,Normal,Poison,Psychic,Rock	NONE	NONE	Ghost:3	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:MAYLENE:38	MAYLENE	Sinnoh Leaders	NONE	Sinnoh Leaders	Jagged Pass	38	NORMAL (MGM off)	single	NONE	6	scales_to_player	UNK	UNK	Meloetta-Pirouette:Player's Highest Lv -1:Hasty:Serene Grace:Expert Belt:6 Atk / 252 SpA / 252 Spe:NONE:Relic Song;Drain Punch;Psychic;Aura Sphere|Pangoro:Player's Highest Lv -1:Adamant:Iron Fist:Punching Glove:6 HP / 252 Atk / 252 Spe:NONE:Drain Punch;Knock Off;Fire Punch;Thunder Punch|Garganacl:Player's Highest Lv -1:Adamant:Purifying Salt:Leftovers:6 HP / 252 Atk / 252 Spe:NONE:Salt Cure;Earthquake;Hammer Arm;Recover|Lilligant-Hisui:Player's Highest Lv -1:Adamant:Hustle:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:Leaf Blade;Drain Punch;Facade;Victory Dance|Lucario-Mega:Player's Highest Lv:Timid:Adaptability:Lucarionite:6 HP / 252 SpA / 252 Spe:NONE:Aura Sphere;Flash Cannon;Vacuum Wave;Dragon Pulse|Kingambit:Player's Highest Lv:Adamant:Supreme Overlord:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Swords Dance;Knock Off;Iron Head;Sucker Punch	1107,675,1322,1001,948,1375	0	True	0	Dark,Dragon,Electric,Fighting,Fire,Grass,Ground,Normal,Psychic,Rock,Steel	NONE	NONE	Fighting:5,Flying:3,Ground:3,Fire:3,Fairy:3	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:WAKE:50	WAKE	Sinnoh Leaders	NONE	Sinnoh Leaders	Route 118	50	NORMAL (MGM off)	single	NONE	6	scales_to_player	UNK	UNK	Politoed:Player's Highest Lv -1:Modest:Drizzle:Damp Rock:6 HP / 252 SpA / 252 Spe:NONE:Scald;Ice Beam;Haze;Psychic|Gyarados:Player's Highest Lv -1:Jolly:Moxie:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:Aqua Tail;Earthquake;Ice Fang;Dragon Dance|Kingdra:Player's Highest Lv -1:Timid:Swift Swim:Life Orb:6 HP / 252 SpA / 252 Spe:NONE:Dragon Pulse;Surf;Hurricane;Ice Beam|Toedscruel:Player's Highest Lv -1:Timid:Clear Body:Assault Vest:6 HP / 252 SpA / 252 Spe:NONE:Sludge Bomb;Flash Cannon;Earth Power;Energy Ball|Urshifu-Rapid-Strike:Player's Highest Lv:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Surging Strikes;Drain Punch;Poison Jab;Bulk Up|Lapras-Mega:Player's Highest Lv:Modest:Liquid Voice:Laprasite:6 HP / 252 SpA / 252 Spe:NONE:Boomburst;Dragon Pulse;Thunderbolt;Ice Beam	186,130,230,1337,1230,1503	0	True	0	Dragon,Electric,Fighting,Flying,Grass,Ground,Ice,Normal,Poison,Psychic,Steel,Water	NONE	NONE	Electric:3,Fairy:3	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:BYRON:62	BYRON	Sinnoh Leaders	NONE	Sinnoh Leaders	Route 121	62	NORMAL (MGM off)	single	NONE	1	scales_to_player	UNK	UNK	Skarmory:Player's Highest Lv -1:Impish:Sturdy:Rocky Helmet:252 HP / 6 Atk / 252 Def:NONE:Stealth Rock;Whirlwind;Drill Peck;Iron Head	227	0	True	0	Flying,Steel	Steel,Electric	Steel,Electric	Fire:1,Electric:1	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:RAIN BATTLE:62	RAIN BATTLE	Sinnoh Leaders	NONE	Sinnoh Leaders	UNK	62	NORMAL (MGM off)	single	NONE	5	scales_to_player	UNK	UNK	Polteageist:Player's Highest Lv -1:Timid:Heatproof:Focus Sash:6 HP / 252 SpA / 252 Spe:NONE:Shadow Ball;Giga Drain;Stored Power;Shell Smash|Orthworm:Player's Highest Lv -1:Impish:Earth Eater:Sitrus Berry:252 HP / 6 Atk / 252 Def:NONE:Shed Tail;Body Press;Iron Head;Earthquake|Scizor:Player's Highest Lv -1:Jolly:Technician:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Bullet Punch;Bug Bite;Swords Dance;Dual Wingbeat|Melmetal:Player's Highest Lv:Adamant:Iron Fist:Assault Vest:6 HP / 252 Atk / 252 Spe:NONE:Double Iron Bash;Earthquake;Thunder Punch;Ice Punch|Copperajah-Mega:Player's Highest Lv:Brave:Sheer Force:Copperajite:252 HP / 252 Atk / 6 Def:NONE:Iron Head;Superpower;Play Rough;High Horsepower	855,1357,212,809,1523	0	True	0	Bug,Electric,Fairy,Fighting,Flying,Ghost,Grass,Ground,Ice,Psychic,Steel	NONE	NONE	Fire:4,Fighting:3,Ground:3	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:ROARK:74	ROARK	Sinnoh Leaders	NONE	Sinnoh Leaders	Route 125	74	NORMAL (MGM off)	single	NONE	6	scales_to_player	UNK	UNK	Hippowdon:Player's Highest Lv -1:Adamant:Sand Stream:Smooth Rock:6 HP / 252 Atk / 252 Def:NONE:Earthquake;Rock Slide;Roar;Stealth Rock|Landorus:Player's Highest Lv -1:Naive:Sheer Force:Life Orb:6 Atk / 252 SpA / 252 Spe:NONE:Sandsear Storm;Stone Edge;Sludge Wave;Psychic|Great Tusk:Player's Highest Lv -1:Adamant:Protosynthesis:Booster Energy:6 HP / 252 Atk / 252 Spe:NONE:Headlong Rush;Close Combat;Knock Off;Ice Spinner|Rampardos:Player's Highest Lv -1:Adamant:Sheer Force:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Rock Slide;Fire Punch;Rock Polish;Zen Headbutt|Cacturne:Player's Highest Lv -1:Hasty:Sand Rush:Focus Sash:6 Atk / 252 SpA / 252 Spe:NONE:Energy Ball;Sucker Punch;Dark Pulse;Destiny Bond|Steelix-Mega:Player's Highest Lv:Adamant:Heatproof:Steelixite:252 HP / 6 Atk / 252 Def:NONE:Earthquake;Stone Edge;Heavy Slam;Crunch	450,645,1376,409,332,922	0	True	0	Dark,Fighting,Fire,Grass,Ground,Ice,Poison,Psychic,Rock,Steel	NONE	NONE	Water:5,Ice:4,Fighting:3,Grass:3	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Sinnoh Leaders:VOLKNER:86	VOLKNER	Sinnoh Leaders	NONE	Sinnoh Leaders	Evergrande City	86	NORMAL (MGM off)	single	NONE	6	scales_to_player	UNK	UNK	Miraidon:Player's Highest Lv:Timid:Hadron Engine:Terrain Extender:6 HP / 252 SpA / 252 Spe:NONE:Electro Drift;Dragon Pulse;Overheat;Taunt|Raichu-Alola:Player's Highest Lv -1:Modest:Surge Surfer:Choice Specs:6 HP / 252 SpA / 252 Spe:NONE:Psychic;Rising Voltage;Thunderbolt;Surf|Iron Hands:Player's Highest Lv -1:Adamant:Quark Drive:Booster Energy:6 HP / 252 Atk / 252 Spe:NONE:Fake Out;Supercell Slam;Close Combat;Heavy Slam|Dodrio:Player's Highest Lv -1:Jolly:Rock Head:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Double-Edge;Quick Attack;Jump Kick|Zeraora:Player's Highest Lv -1:Adamant:Volt Absorb:Assault Vest:6 HP / 252 Atk / 252 Spe:NONE:Plasma Fists;Aerial Ace;Fake Out;Facade|Toxtricity-Mega:Player's Highest Lv:Timid:Punk Rock:Toxtricitite:6 HP / 252 SpA / 252 Spe:30 Atk / 30 SpA:Sludge Wave;Boomburst;Hidden Power Grass;Overdrive	1401,958,1384,85,807,1518	0	True	0	Dragon,Electric,Fighting,Fire,Flying,Normal,Poison,Psychic,Steel,Water	NONE	NONE	Ground:5	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:DAWN:16	DAWN	Rivals	NONE	Rivals	Route 104	16	NORMAL (MGM off)	single	NONE	30	scales_to_player	UNK	UNK	Buneary:Player's Highest Lv -3:Adamant:Limber:Oran Berry:NONE:NONE:Fake Out;Quick Attack;Mach Punch|Golbat:Player's Highest Lv -2:Jolly:Sniper:Muscle Band:NONE:NONE:Wing Attack;Cross Poison;Bite;U-turn|Golbat:Player's Highest Lv -2:Jolly:Sniper:Muscle Band:NONE:NONE:Wing Attack;Cross Poison;Bite;U-turn|Golbat:Player's Highest Lv -2:Jolly:Sniper:Muscle Band:NONE:NONE:Wing Attack;Cross Poison;Bite;U-turn|Crobat:Player's Highest Lv -1:Jolly:Sniper:Muscle Band:NONE:NONE:Dual Wingbeat;Cross Poison;Bite;U-turn|Crobat:Player's Highest Lv -1:Jolly:Sniper:Muscle Band:NONE:NONE:Dual Wingbeat;Cross Poison;Bite;U-turn|Crobat:Player's Highest Lv -1:Jolly:Sniper:Muscle Band:NONE:NONE:Dual Wingbeat;Cross Poison;Bite;U-turn|Hattrem:Player's Highest Lv -2:Modest:Magic Bounce:Wise Glasses:NONE:NONE:Draining Kiss;Psybeam;Thunder Wave;Life Dew|Hattrem:Player's Highest Lv -2:Modest:Magic Bounce:Wise Glasses:NONE:NONE:Draining Kiss;Psybeam;Thunder Wave;Life Dew|Metang:Player's Highest Lv -1:Impish:Tough Claws:Eviolite:NONE:NONE:Metal Claw;Bullet Punch;Zen Headbutt;Bulldoze|Hattrem:Player's Highest Lv -2:Modest:Magic Bounce:Wise Glasses:NONE:NONE:Draining Kiss;Psybeam;Thunder Wave;Life Dew|Sliggoo-Hisui:Player's Highest Lv -1:Calm:Sap Sipper:Eviolite:NONE:NONE:Dragon Breath;Flash Cannon;Water Pulse;Life Dew|Dragonair:Player's Highest Lv -1:Impish:Shed Skin:Eviolite:NONE:NONE:Dragon Tail;Dragon Rage;Body Slam;Thunder Wave|Noibat:Player's Highest Lv -2:Timid:Infiltrator:Oran Berry:NONE:NONE:Gust;Absorb;Twister|Piplup:Player's Highest Lv -1:Serious:Torrent:Oran Berry:NONE:NONE:Bubble Beam;Aqua Jet;Baby-Doll Eyes;Peck|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Muscle Band:NONE:NONE:Rock Smash;Aerial Ace;Headbutt;Fire Punch|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Muscle Band:NONE:NONE:Rock Smash;Aerial Ace;Headbutt;Rock Tomb|Rapidash-Galar:Player's Highest Lv -1:Jolly:Immunity:Sitrus Berry:NONE:NONE:Flame Wheel;Will-O-Wisp;Covet;Quick Attack|Whimsicott:Player's Highest Lv -1:Timid:Prankster:Sitrus Berry:NONE:NONE:Giga Drain;Stun Spore;Leech Seed;Dazzling Gleam|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Muscle Band:NONE:NONE:Rock Smash;Aerial Ace;Headbutt;Thunder Punch|Gorebyss:Player's Highest Lv -1:Modest:Dazzling:Sitrus Berry:NONE:NONE:Aurora Beam;Water Pulse;Draining Kiss;Psychic|Marshtomp:Player's Highest Lv -1:Quiet:Torrent:Sitrus Berry:NONE:NONE:Water Pulse;Rock Tomb;Mud Shot;Ice Punch|Grovyle:Player's Highest Lv -1:Adamant:Overgrow:Sitrus Berry:NONE:NONE:Bullet Seed;Rock Tomb;Fury Cutter;Assurance|Combusken:Player's Highest Lv -1:Adamant:Striker:Sitrus Berry:NONE:NONE:Double Kick;Rock Tomb;Flame Charge;Thunder Punch|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Punching Glove:NONE:NONE:Drain Punch;Fire Punch;Thunder Punch;Ice Punch|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Punching Glove:NONE:NONE:Drain Punch;Fire Punch;Thunder Punch;Ice Punch|Kubfu:Player's Highest Lv -2:Adamant:Inner Focus:Punching Glove:NONE:NONE:Drain Punch;Fire Punch;Thunder Punch;Ice Punch|Grovyle:Player's Highest Lv:Jolly:Overgrow:Focus Sash:80 Spe:NONE:Leaf Blade;Rock Slide;Power-Up Punch;Low Sweep|Combusken:Player's Highest Lv:Modest:Blaze:Focus Sash:80 Spe:NONE:Flame Burst;Scorching Sands;Quick Attack;Counter|Marshtomp:Player's Highest Lv:Brave:Torrent:Focus Sash:80 Atk:NONE:Bulldoze;Rock Slide;Liquidation;Flip Turn	427,42,42,42,169,169,169,857,857,375,857,1005,148,714,393,891,891,976,547,891,368,259,253,256,891,891,891,253,256,259	0	True	0	Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water	NONE	NONE	NONE	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:WALLY:99	WALLY	Rivals	NONE	Rivals	Mauville City	99	NORMAL (MGM off)	single	NONE	4	fixed	30	32	Drednaw:30:Adamant:Strong Jaw:Sitrus Berry:NONE:NONE:Crunch;Razor Shell;Rock Tomb;Brick Break|Kricketune:30:Jolly:Technician:Sitrus Berry:NONE:NONE:Bug Bite;Bulldoze;Aerial Ace;Rock Smash|Skarmory:31:Impish:Sturdy:Sitrus Berry:NONE:NONE:Steel Wing;Drill Peck;Roost;Toxic|Gardevoir:32:Timid:Trace:Wise Glasses:80 SpA:NONE:Draining Kiss;Psychic Noise;Magical Leaf;Shadow Ball	834,402,227,282	0	True	0	Bug,Dark,Fairy,Fighting,Flying,Ghost,Grass,Ground,Psychic,Rock,Steel,Water	NONE	NONE	Fire:2,Electric:2	72	58	63	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:DAWN:111	DAWN	Rivals	NONE	Rivals	Route 111	111	NORMAL (MGM off)	single	NONE	5	scales_to_player	UNK	UNK	Lopunny:Player's Highest Lv -2:Jolly:Limber:Silk Scarf:6 HP / 252 Atk / 252 Spe:NONE:Fake Out;Return;Thunder Punch;Drain Punch|Noivern:Player's Highest Lv -2:Timid:Infiltrator:Expert Belt:6 HP / 252 SpA / 252 Spe:NONE:Aeroblast;Dragon Pulse;Boomburst;Dark Pulse|Tsareena:Player's Highest Lv -2:Jolly:Striker:Miracle Seed:6 HP / 252 Atk / 252 Spe:NONE:Trop Kick;Triple Axel;High Jump Kick;Play Rough|Chandelure:Player's Highest Lv -2:Timid:Flash Fire:Charcoal:6 HP / 252 SpA / 252 Spe:NONE:Flamethrower;Shadow Ball;Psychic;Will-O-Wisp|Empoleon:Player's Highest Lv -1:Modest:Torrent:NONE:252 HP / 6 SpA / 252 SpD:NONE:Surf;Flash Cannon;Air Slash;Roost	428,715,763,609,395	0	True	1	Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ice,Normal,Psychic,Steel,Water	NONE	NONE	NONE	UNK	UNK	UNK	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:WALLY:123	WALLY	Rivals	NONE	Rivals	Route 110	123	NORMAL (MGM off)	single	NONE	24	mixed	64	64	Sneasler:Player's Highest Lv -1:Jolly:Unburden:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:Taunt;Dire Claw;Close Combat;Knock Off|Crobat:64:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Haze;U-turn|Crobat:64:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Haze;U-turn|Crobat:64:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Haze;U-turn|Metagross:64:Adamant:Tough Claws:Air Balloon:6 HP / 252 Atk / 252 Spe:NONE:Meteor Mash;Earthquake;Zen Headbutt;Bullet Punch|Galvantula:Player's Highest Lv -1:Timid:Compound Eyes:Expert Belt:6 HP / 252 SpA / 252 Spe:NONE:Bug Buzz;Thunder;Giga Drain;Volt Switch|Goodra-Hisui:64:Calm:Sap Sipper:Leftovers:252 HP / 6 SpA / 252 SpD:NONE:Dragon Pulse;Wish;Flash Cannon;Toxic|Dragonite:64:Jolly:Multiscale:Lum Berry:6 HP / 252 Atk / 252 Spe:NONE:Dual Wingbeat;Dragon Claw;Iron Head;Dragon Dance|Whimsicott:64:Timid:Prankster:Leftovers:6 HP / 252 SpA / 252 Spe:NONE:Giga Drain;Moonblast;Leech Seed;Stun Spore|Rapidash-Galar:64:Jolly:Flash Fire:Air Balloon:6 HP / 252 Atk / 252 Spe:NONE:Fire Lash;Will-O-Wisp;Play Rough;Wild Charge|Corviknight:Player's Highest Lv -1:Impish:Unnerve:Rocky Helmet:252 HP / 6 Atk / 252 Def:NONE:Body Press;Drill Peck;Iron Head;Roost|Gorebyss:64:Modest:Dazzling:White Herb:6 HP / 252 SpA / 252 Spe:NONE:Ice Beam;Surf;Moonblast;Shell Smash|Urshifu:64:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Drain Punch;Sucker Punch;Wicked Blow;Ice Punch|Urshifu:64:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Drain Punch;Sucker Punch;Wicked Blow;Ice Punch|Darmanitan:Player's Highest Lv -1:Jolly:Sheer Force:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Flare Blitz;Rock Slide;Superpower;Earthquake|Urshifu:64:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Drain Punch;Sucker Punch;Wicked Blow;Ice Punch|Electrode-Hisui:64:Modest:Reckless:Life Orb:6 HP / 252 SpA / 252 Spe:30 Atk / 30 Def:Thunderbolt;Chloroblast;Volt Switch;Flash Cannon|Basculegion-F:64:Modest:Adaptability:Life Orb:6 HP / 252 SpA / 252 Spe:NONE:Scald;Ice Beam;Psychic;Shadow Ball|Wishiwashi-School:Player's Highest Lv -1:Quiet:Schooling:Assault Vest:252 HP / 6 Atk / 252 SpA:30 Atk / 30 SpA:Hydro Pump;Ice Beam;Hidden Power Grass;Flip Turn|Armarouge:64:Modest:Mega Launcher:Life Orb:6 HP / 252 SpA / 252 Spe:NONE:Armor Cannon;Aura Sphere;Psychic;Shadow Ball|Sceptile-Mega:64:Jolly:Technician:Sceptilite:6 HP / 252 Atk / 252 Spe:NONE:Dual Chop;Bullet Seed;Earthquake;Swords Dance|Gardevoir:Player's Highest Lv:Timid:Pixilate:Gardevoirite:6 HP / 252 SpA / 252 Spe:NONE:Moonblast;Psychic;Focus Blast;Thunderbolt|Blaziken-Mega:64:Jolly:Striker:Blazikenite:6 HP / 252 Atk / 252 Spe:NONE:Thunderous Kick;Blaze Kick;Thunder Punch;Bulk Up|Swampert-Mega:64:Adamant:Swift Swim:Swampertite:6 HP / 252 Atk / 252 Spe:NONE:Liquidation;Earthquake;Power-Up Punch;Avalanche	903,169,169,169,376,596,1006,149,547,976,823,368,892,892,555,892,996,1234,1175,1324,927,282,928,929	0	True	0	Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water	NONE	NONE	NONE	275	101	207	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:DAWN:171	DAWN	Rivals	NONE	Rivals	Lilycove City	171	NORMAL (MGM off)	single	NONE	6	fixed	71	71	Lopunny:71:Jolly:Limber:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Fake Out;Return;Thunder Punch;Close Combat|Noivern:71:Timid:Infiltrator:Choice Specs:6 HP / 252 SpA / 252 Spe:NONE:Aeroblast;Dragon Pulse;Boomburst;Dark Pulse|Meowscarada:71:Jolly:Protean:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Knock Off;Flower Trick;Play Rough;U-turn|Chandelure:71:Timid:Flash Fire:Charcoal:6 HP / 252 SpA / 252 Spe:NONE:Flamethrower;Shadow Ball;Psychic;Will-O-Wisp|Iron Boulder:71:Jolly:Quark Drive:Booster Energy:6 HP / 252 Atk / 252 Spe:NONE:Sacred Sword;Mighty Cleave;Psycho Cut;Megahorn|Empoleon:71:Modest:Torrent:NONE:252 HP / 6 SpA / 252 SpD:NONE:Surf;Flash Cannon;Air Slash;Roost	428,715,1291,609,1429,395	0	True	1	Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Normal,Psychic,Rock,Steel,Water	NONE	NONE	Fighting:3,Ground:3,Fairy:3	271	112	256	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:DAWN:183	DAWN	Rivals	NONE	Rivals	Evergrande City	183	NORMAL (MGM off)	single	NONE	24	fixed	84	84	Pheromosa:84:Jolly:Beast Boost:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:U-turn;Triple Kick;Triple Axel;Poison Jab|Crobat:84:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Leech Life;U-turn|Crobat:84:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Leech Life;U-turn|Crobat:84:Jolly:Sniper:Scope Lens:6 HP / 252 Atk / 252 Spe:NONE:Brave Bird;Cross Poison;Leech Life;U-turn|Metagross:84:Adamant:Tough Claws:Air Balloon:6 HP / 252 Atk / 252 Spe:NONE:Meteor Mash;Earthquake;Zen Headbutt;Bullet Punch|Noivern:84:Timid:Infiltrator:Choice Specs:6 HP / 252 SpA / 252 Spe:NONE:Aeroblast;Draco Meteor;Boomburst;Dark Pulse|Goodra-Hisui:84:Calm:Sap Sipper:Leftovers:252 HP / 6 SpA / 252 SpD:NONE:Dragon Pulse;Wish;Flash Cannon;Toxic|Dragonite:84:Jolly:Multiscale:Lum Berry:6 HP / 252 Atk / 252 Spe:NONE:Dual Wingbeat;Dragon Claw;Iron Head;Dragon Dance|Tapu Bulu:84:Jolly:Grassy Surge:Grassy Seed:6 HP / 252 Atk / 252 Spe:NONE:Wood Hammer;Play Rough;Superpower;Zen Headbutt|Tapu Koko:84:Jolly:Electric Surge:Electric Seed:6 HP / 252 Atk / 252 Spe:NONE:Supercell Slam;Return;Play Rough;Roost|Meowscarada:84:Jolly:Protean:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Knock Off;Flower Trick;Play Rough;Triple Axel|Tapu Fini:84:Timid:Misty Surge:Misty Seed:6 HP / 252 SpA / 252 Spe:NONE:Ice Beam;Hydro Pump;Moonblast;Grass Knot|Urshifu:84:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Close Combat;Sucker Punch;Wicked Blow;Ice Punch|Urshifu:84:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Close Combat;Sucker Punch;Wicked Blow;Ice Punch|Blacephalon:84:Timid:Beast Boost:Life Orb:6 HP / 252 SpA / 252 Spe:NONE:Flamethrower;Shadow Ball;Psychic;Mind Blown|Urshifu:84:Jolly:Unseen Fist:Expert Belt:6 HP / 252 Atk / 252 Spe:NONE:Close Combat;Sucker Punch;Wicked Blow;Ice Punch|Ogerpon-Hearthflame:84:Jolly:Mold Breaker:Hearthflame Mask:6 HP / 252 Atk / 252 Spe:NONE:Ivy Cudgel;Wood Hammer;Throat Chop;Swords Dance|Milotic:84:Bold:Competitive:Leftovers:252 HP / 252 Def / 6 SpA:NONE:Bouncy Bubble;Ice Beam;Recover;Toxic|Iron Boulder:84:Jolly:Quark Drive:Booster Energy:6 HP / 252 Atk / 252 Spe:NONE:Sacred Sword;Mighty Cleave;Psycho Cut;Megahorn|Volcarona:84:Timid:Flame Body:Heavy-Duty Boots:6 HP / 252 SpA / 252 Spe:NONE:Fiery Dance;Bug Buzz;Quiver Dance;Giga Drain|Sceptile-Mega:84:Jolly:Technician:Sceptilite:6 HP / 252 Atk / 252 Spe:NONE:Dual Chop;Bullet Seed;Earthquake;Swords Dance|Empoleon:84:Modest:Torrent:NONE:252 HP / 6 SpA / 252 SpD:NONE:Surf;Flash Cannon;Air Slash;Roost|Blaziken-Mega:84:Jolly:Striker:Blazikenite:6 HP / 252 Atk / 252 Spe:NONE:Thunderous Kick;Blaze Kick;Thunder Punch;Bulk Up|Swampert-Mega:84:Adamant:Swift Swim:Swampertite:6 HP / 252 Atk / 252 Spe:NONE:Liquidation;Earthquake;Power-Up Punch;Avalanche	795,169,169,169,376,715,1006,149,787,785,1291,788,892,892,806,892,1418,350,1429,637,927,395,928,929	0	True	1	Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water	NONE	NONE	NONE	370	131	276	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
Rivals:WALLY:231	WALLY	Rivals	NONE	Rivals	Victory Road	231	NORMAL (MGM off)	single	NONE	6	fixed	84	84	Sneasler:84:Jolly:Poison Touch:Focus Sash:6 HP / 252 Atk / 252 Spe:NONE:Close Combat;Dire Claw;Fake Out;Rock Slide|Shaymin-Sky:84:Timid:Serene Grace:Yache Berry:6 HP / 252 SpA / 252 Spe:NONE:Air Slash;Seed Flare;Earth Power;Psychic|Celesteela:84:Modest:Beast Boost:Power Herb:6 HP / 252 SpA / 252 Spe:NONE:Meteor Beam;Flamethrower;Air Slash;Flash Cannon|Darmanitan:84:Jolly:Sheer Force:Life Orb:6 HP / 252 Atk / 252 Spe:NONE:Flare Blitz;Superpower;Rock Slide;Earthquake|Raging Bolt:84:Timid:Protosynthesis:Booster Energy:6 HP / 252 SpA / 252 Spe:NONE:Dragon Pulse;Thunderclap;Thunderbolt;Hyper Voice|Gardevoir-Mega:84:Timid:Pixilate:Gardevoirite:6 HP / 252 SpA / 252 Spe:NONE:Hyper Voice;Psychic;Focus Blast;Calm Mind	903,1072,797,555,1428,930	0	True	0	Dragon,Electric,Fighting,Fire,Flying,Grass,Ground,Normal,Poison,Psychic,Rock,Steel	NONE	NONE	Ground:3	326	186	271	General_Documents___Locations.xlsx (Boss Battles tabs)	Measured	NONE
