lineage	checkpoint	form_used	form_stage	raw	floor	vorp	lin_median	dead_weight_penalty	adjusted
10	12	Butterfree	3	0.4393	0.2526	-0.0716	0.5059	0.0666	0.3727
10	13	Butterfree	3	0.526	0.3229	-0.0357	0.5059	0	0.526
10	14	Butterfree	3	0.5582	0.3097	0.0127	0.5059	0	0.5582
10	15	Butterfree	3	0.6477	0.3744	0.1096	0.5059	0	0.6477
10	16	Butterfree	3	0.4803	0.2851	-0.0577	0.5059	0.0256	0.4547
10	17	Butterfree	3	0.5141	0.2347	0.0148	0.5059	0	0.5141
10	18	Butterfree	3	0.4259	0.248	-0.0785	0.5059	0.08	0.3459
10	19	Butterfree	3	0.5059	0.2669	-0.0031	0.5059	0	0.5059
100	1	Electrode	2	0.4778	0.4628	-0.1248	0.642	0.1642	0.3136
100	2	Electrode	2	0.5287	0.5021	0.0039	0.642	0.1133	0.4154
100	3	Electrode	2	0.4892	0.4639	-0.0438	0.642	0.1528	0.3364
100	4	Electrode	2	0.5905	0.4983	-0.0286	0.642	0.0515	0.539
100	5	Electrode	2	0.658	0.5825	0.091	0.642	0	0.658
100	6	Electrode	2	0.7137	0.5226	0.1931	0.642	0	0.7137
100	7	Electrode	2	0.6393	0.4623	0.1493	0.642	0.0027	0.6366
100	8	Electrode	2	0.654	0.4177	0.1658	0.642	0	0.654
100	9	Electrode	2	0.6731	0.459	0.175	0.642	0	0.6731
100	10	Electrode	2	0.6316	0.4392	0.1698	0.642	0.0104	0.6212
100	11	Electrode	2	0.642	0.4521	0.0927	0.642	0	0.642
100	12	Electrode	2	0.6766	0.4975	0.2249	0.642	0	0.6766
100	13	Electrode	2	0.6808	0.4469	0.1978	0.642	0	0.6808
100	14	Electrode	2	0.6611	0.4731	0.162	0.642	0	0.6611
100	15	Electrode	2	0.6878	0.4763	0.1663	0.642	0	0.6878
100	16	Electrode	2	0.5968	0.4362	0.1189	0.642	0.0452	0.5516
100	17	Electrode	2	0.6001	0.4077	0.1576	0.642	0.0419	0.5582
100	18	Electrode	2	0.6355	0.4716	0.1579	0.642	0.0065	0.629
100	19	Electrode	2	0.6568	0.4632	0.1724	0.642	0	0.6568
1002	1	Zorua-Hisui	1	0.5893	0.3511	-0.0133	0.5316	0	0.5893
1002	2	Zorua-Hisui	1	0.5043	0.3427	-0.0205	0.5316	0.0273	0.477
1002	3	Zorua-Hisui	1	0.4908	0.3194	-0.0422	0.5316	0.0408	0.45
1002	4	Zoroark-Hisui	2	0.5316	0.4805	-0.105	0.5316	0	0.5316
1002	5	Zoroark-Hisui	2	0.5617	0.515	0.0261	0.5316	0	0.5617
1002	6	Zoroark-Hisui	2	0.5559	0.3857	0.1221	0.5316	0	0.5559
1002	7	Zoroark-Hisui	2	0.573	0.3973	0.105	0.5316	0	0.573
1002	8	Zoroark-Hisui	2	0.4699	0.3721	-0.0634	0.5316	0.0617	0.4082
1002	9	Zoroark-Hisui	2	0.5497	0.3796	0.0281	0.5316	0	0.5497
1002	10	Zoroark-Hisui	2	0.5842	0.3356	0.068	0.5316	0	0.5842
1002	11	Zoroark-Hisui	2	0.5509	0.3375	-0.0318	0.5316	0	0.5509
1002	12	Zoroark-Hisui	2	0.4612	0.3526	-0.0497	0.5316	0.0704	0.3908
1002	13	Zoroark-Hisui	2	0.5354	0.3763	-0.0263	0.5316	0	0.5354
1002	14	Zoroark-Hisui	2	0.4966	0.3339	-0.0489	0.5316	0.035	0.4616
1002	15	Zoroark-Hisui	2	0.5601	0.3812	0.022	0.5316	0	0.5601
1002	16	Zoroark-Hisui	2	0.4729	0.3674	-0.0651	0.5316	0.0587	0.4142
1002	17	Zoroark-Hisui	2	0.5078	0.3378	0.0085	0.5316	0.0238	0.484
1002	18	Zoroark-Hisui	2	0.4814	0.3433	-0.023	0.5316	0.0502	0.4312
1002	19	Zoroark-Hisui	2	0.4742	0.3258	-0.0348	0.5316	0.0574	0.4168
102	1	Exeggcute	1	0.7036	0.548	0.2838	0.614	0	0.7036
102	2	Exeggcute	1	0.6002	0.3505	0.2798	0.614	0.0138	0.5864
102	3	Exeggcute	1	0.6671	0.4161	0.251	0.614	0	0.6671
102	4	Exeggcute	1	0.4656	0.2841	0.0273	0.614	0.1484	0.3172
102	5	Exeggcute	1	0.5187	0.2579	-0.0278	0.614	0.0953	0.4234
102	6	Exeggutor-Alola	2	0.6028	0.3094	0.1142	0.614	0.0112	0.5916
102	7	Exeggutor-Alola	2	0.6586	0.397	0.1361	0.614	0	0.6586
102	8	Exeggutor-Alola	2	0.5661	0.359	0.0328	0.614	0.0479	0.5182
102	9	Exeggutor-Alola	2	0.614	0.3546	0.0924	0.614	0	0.614
102	10	Exeggutor	2	0.6706	0.4052	0.2088	0.614	0	0.6706
102	11	Exeggutor	2	0.6558	0.3782	0.1065	0.614	0	0.6558
102	12	Exeggutor	2	0.6	0.3254	0.1483	0.614	0.014	0.586
102	13	Exeggutor-Alola	2	0.5648	0.3455	0.0859	0.614	0.0492	0.5156
102	14	Exeggutor-Alola	2	0.666	0.3987	0.226	0.614	0	0.666
102	15	Exeggutor	2	0.6702	0.3718	0.1487	0.614	0	0.6702
102	16	Exeggutor-Alola	2	0.6355	0.3707	0.23	0.614	0	0.6355
102	17	Exeggutor	2	0.6451	0.3671	0.2026	0.614	0	0.6451
102	18	Exeggutor	2	0.5481	0.3112	0.0705	0.614	0.0659	0.4822
102	19	Exeggutor	2	0.566	0.3104	0.0816	0.614	0.048	0.518
1024	4	Unown-B	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1024	5	Unown-B	1	0.395	0.345	-0.1648	0.3284	0	0.395
1024	6	Unown-B	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1024	7	Unown-B	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1024	8	Unown-B	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1024	9	Unown-B	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1024	10	Unown-B	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1024	11	Unown-B	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1024	12	Unown-B	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1024	13	Unown-B	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1024	14	Unown-B	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1024	15	Unown-B	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1024	16	Unown-B	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1024	17	Unown-B	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1024	18	Unown-B	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1024	19	Unown-B	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1025	4	Unown-C	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1025	5	Unown-C	1	0.395	0.345	-0.1648	0.3284	0	0.395
1025	6	Unown-C	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1025	7	Unown-C	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1025	8	Unown-C	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1025	9	Unown-C	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1025	10	Unown-C	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1025	11	Unown-C	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1025	12	Unown-C	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1025	13	Unown-C	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1025	14	Unown-C	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1025	15	Unown-C	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1025	16	Unown-C	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1025	17	Unown-C	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1025	18	Unown-C	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1025	19	Unown-C	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1026	4	Unown-D	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1026	5	Unown-D	1	0.395	0.345	-0.1648	0.3284	0	0.395
1026	6	Unown-D	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1026	7	Unown-D	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1026	8	Unown-D	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1026	9	Unown-D	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1026	10	Unown-D	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1026	11	Unown-D	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1026	12	Unown-D	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1026	13	Unown-D	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1026	14	Unown-D	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1026	15	Unown-D	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1026	16	Unown-D	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1026	17	Unown-D	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1026	18	Unown-D	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1026	19	Unown-D	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1027	4	Unown-E	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1027	5	Unown-E	1	0.395	0.345	-0.1648	0.3284	0	0.395
1027	6	Unown-E	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1027	7	Unown-E	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1027	8	Unown-E	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1027	9	Unown-E	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1027	10	Unown-E	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1027	11	Unown-E	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1027	12	Unown-E	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1027	13	Unown-E	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1027	14	Unown-E	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1027	15	Unown-E	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1027	16	Unown-E	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1027	17	Unown-E	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1027	18	Unown-E	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1027	19	Unown-E	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1028	4	Unown-F	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1028	5	Unown-F	1	0.395	0.345	-0.1648	0.3284	0	0.395
1028	6	Unown-F	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1028	7	Unown-F	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1028	8	Unown-F	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1028	9	Unown-F	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1028	10	Unown-F	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1028	11	Unown-F	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1028	12	Unown-F	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1028	13	Unown-F	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1028	14	Unown-F	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1028	15	Unown-F	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1028	16	Unown-F	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1028	17	Unown-F	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1028	18	Unown-F	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1028	19	Unown-F	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1029	4	Unown-G	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1029	5	Unown-G	1	0.395	0.345	-0.1648	0.3284	0	0.395
1029	6	Unown-G	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1029	7	Unown-G	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1029	8	Unown-G	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1029	9	Unown-G	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1029	10	Unown-G	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1029	11	Unown-G	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1029	12	Unown-G	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1029	13	Unown-G	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1029	14	Unown-G	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1029	15	Unown-G	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1029	16	Unown-G	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1029	17	Unown-G	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1029	18	Unown-G	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1029	19	Unown-G	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1030	4	Unown-H	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1030	5	Unown-H	1	0.395	0.345	-0.1648	0.3284	0	0.395
1030	6	Unown-H	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1030	7	Unown-H	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1030	8	Unown-H	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1030	9	Unown-H	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1030	10	Unown-H	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1030	11	Unown-H	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1030	12	Unown-H	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1030	13	Unown-H	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1030	14	Unown-H	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1030	15	Unown-H	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1030	16	Unown-H	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1030	17	Unown-H	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1030	18	Unown-H	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1030	19	Unown-H	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1031	4	Unown-I	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1031	5	Unown-I	1	0.395	0.345	-0.1648	0.3284	0	0.395
1031	6	Unown-I	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1031	7	Unown-I	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1031	8	Unown-I	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1031	9	Unown-I	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1031	10	Unown-I	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1031	11	Unown-I	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1031	12	Unown-I	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1031	13	Unown-I	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1031	14	Unown-I	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1031	15	Unown-I	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1031	16	Unown-I	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1031	17	Unown-I	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1031	18	Unown-I	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1031	19	Unown-I	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1032	4	Unown-J	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1032	5	Unown-J	1	0.395	0.345	-0.1648	0.3284	0	0.395
1032	6	Unown-J	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1032	7	Unown-J	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1032	8	Unown-J	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1032	9	Unown-J	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1032	10	Unown-J	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1032	11	Unown-J	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1032	12	Unown-J	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1032	13	Unown-J	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1032	14	Unown-J	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1032	15	Unown-J	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1032	16	Unown-J	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1032	17	Unown-J	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1032	18	Unown-J	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1032	19	Unown-J	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1033	4	Unown-K	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1033	5	Unown-K	1	0.395	0.345	-0.1648	0.3284	0	0.395
1033	6	Unown-K	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1033	7	Unown-K	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1033	8	Unown-K	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1033	9	Unown-K	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1033	10	Unown-K	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1033	11	Unown-K	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1033	12	Unown-K	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1033	13	Unown-K	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1033	14	Unown-K	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1033	15	Unown-K	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1033	16	Unown-K	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1033	17	Unown-K	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1033	18	Unown-K	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1033	19	Unown-K	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1034	4	Unown-L	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1034	5	Unown-L	1	0.395	0.345	-0.1648	0.3284	0	0.395
1034	6	Unown-L	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1034	7	Unown-L	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1034	8	Unown-L	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1034	9	Unown-L	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1034	10	Unown-L	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1034	11	Unown-L	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1034	12	Unown-L	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1034	13	Unown-L	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1034	14	Unown-L	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1034	15	Unown-L	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1034	16	Unown-L	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1034	17	Unown-L	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1034	18	Unown-L	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1034	19	Unown-L	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1035	4	Unown-M	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1035	5	Unown-M	1	0.395	0.345	-0.1648	0.3284	0	0.395
1035	6	Unown-M	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1035	7	Unown-M	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1035	8	Unown-M	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1035	9	Unown-M	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1035	10	Unown-M	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1035	11	Unown-M	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1035	12	Unown-M	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1035	13	Unown-M	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1035	14	Unown-M	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1035	15	Unown-M	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1035	16	Unown-M	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1035	17	Unown-M	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1035	18	Unown-M	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1035	19	Unown-M	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1036	4	Unown-N	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1036	5	Unown-N	1	0.395	0.345	-0.1648	0.3284	0	0.395
1036	6	Unown-N	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1036	7	Unown-N	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1036	8	Unown-N	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1036	9	Unown-N	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1036	10	Unown-N	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1036	11	Unown-N	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1036	12	Unown-N	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1036	13	Unown-N	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1036	14	Unown-N	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1036	15	Unown-N	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1036	16	Unown-N	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1036	17	Unown-N	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1036	18	Unown-N	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1036	19	Unown-N	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1037	4	Unown-O	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1037	5	Unown-O	1	0.395	0.345	-0.1648	0.3284	0	0.395
1037	6	Unown-O	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1037	7	Unown-O	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1037	8	Unown-O	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1037	9	Unown-O	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1037	10	Unown-O	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1037	11	Unown-O	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1037	12	Unown-O	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1037	13	Unown-O	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1037	14	Unown-O	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1037	15	Unown-O	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1037	16	Unown-O	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1037	17	Unown-O	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
1037	18	Unown-O	1	0.3153	0.2483	-0.1424	0.3284	0.0131	0.3022
1037	19	Unown-O	1	0.305	0.2207	-0.1482	0.3284	0.0234	0.2816
1038	4	Unown-P	1	0.4193	0.3837	-0.1998	0.3284	0	0.4193
1038	5	Unown-P	1	0.395	0.345	-0.1648	0.3284	0	0.395
1038	6	Unown-P	1	0.3502	0.2661	-0.0766	0.3284	0	0.3502
1038	7	Unown-P	1	0.3413	0.3121	-0.1143	0.3284	0	0.3413
1038	8	Unown-P	1	0.3463	0.2825	-0.0834	0.3284	0	0.3463
1038	9	Unown-P	1	0.3272	0.2751	-0.1436	0.3284	0.0012	0.326
1038	10	Unown-P	1	0.2881	0.2464	-0.1613	0.3284	0.0403	0.2478
1038	11	Unown-P	1	0.339	0.2591	-0.1382	0.3284	0	0.339
1038	12	Unown-P	1	0.3296	0.2308	-0.1222	0.3284	0	0.3296
1038	13	Unown-P	1	0.2938	0.2176	-0.1911	0.3284	0.0346	0.2592
1038	14	Unown-P	1	0.3488	0.2312	-0.1037	0.3284	0	0.3488
1038	15	Unown-P	1	0.2758	0.217	-0.2447	0.3284	0.0526	0.2232
1038	16	Unown-P	1	0.3228	0.2537	-0.119	0.3284	0.0056	0.3172
1038	17	Unown-P	1	0.2744	0.2224	-0.1443	0.3284	0.054	0.2204
