entity_type	entity_name	internal_id	location	sub_area	region	acquisition_method	cost	currency	quantity	repeatable	prerequisites	earliest_gate	gate_basis	trade_given	trade_received	vendor_stock	missable	missable_reason	source_file	confidence	notes	reward_trainer
TM	TM076 Stealth Rock	446	Route 120, from Byron after defeating him		Hoenn	reward/ground			1	one_time	location reachability	13_Pre-Dawn-Lilycove	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM077 Flame Charge	488	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM078 Low Sweep	490	Dewford Gym, from Brawly after defeating him		Hoenn	reward/ground			1	one_time	after brawly	04_Pre-Aqua-Museum	after brawly				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM079 Dark Pulse	399	Lavaridge Town’s outdoor Mart worker		Hoenn	reward/ground			1	one_time	location reachability	08_Pre-Flannery	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM080 Rock Slide	157	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM081 X-Scissor	404	Route 113, Northeast of the Twins		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM082 Sleep Talk	214	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM083 Scald	503	Route 111, from Dawn after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM084 Poison Jab	398	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM085 Future Sight	248	Petalburg City, from Wally’s dad after defeating Norman		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM086 Grass Knot	447	Trick House, reward for completing second puzzle		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM087 Low Kick	67	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM088 Pluck	365	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM089 U-Turn	369	Petalburg Woods, from Gardenia after defeating her		Hoenn	reward/ground			1	one_time	location reachability	01_Pre-Roxanne	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM090 Substitute	164	Fortree City, from creator Isaac after defeating him		Hoenn	reward/ground			1	one_time	location reachability	12_Pre-Winona	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM091 Flash	148	Cannon Route 111, from Dawn after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM092 Volt Switch	521	Mauville City’s gym, from Wattson after defeating him		Hoenn	reward/ground			1	one_time	after wattson	07_Pre-MtChimney-Magma	after wattson				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM093 Dragon Tail	525	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM094 Trailblaze	811	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM095 Acrobatics	512	Fortree City, from Winona after defeating her		Hoenn	reward/ground			1	one_time	after winona	13_Pre-Dawn-Lilycove	after winona				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM096 Bulldoze	523	Rustboro gym, from Roxanne after defeating her		Hoenn	reward/ground			1	one_time	after roxanne	02_Pre-Rustboro-Rival	after roxanne				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM097 Snarl	555	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM098 Work Up	526	Verdanturf Town, from Ursula after defeating her in a “dance battle”		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM099 Wild Charge	528	New Mauville, on the ground		Hoenn	reward/ground			1	one_time	location reachability	09_Pre-TrickHouse	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM100 Dual Wingbeat	742	Petalburg City, from Wally’s dad after defeating Norman		Hoenn	reward/ground			1	one_time	after norman	11_Pre-Route119-Rival	after norman				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM101 Superpower	276	New Mauville, on the ground		Hoenn	reward/ground			1	one_time	location reachability	09_Pre-TrickHouse	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM102 Scorching Sands	743	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM103 Smack Down	479	Dewford Town’s outdoor Mart workers		Hoenn	reward/ground			1	one_time	location reachability	03_Pre-Brawly	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM104 Heat Crash	535	Lavaridge Town, fromFlannery after defeating her		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM105 Body Press	704	Jagged Pass, from Maylene after defeating her		Hoenn	reward/ground			1	one_time	location reachability	07_Pre-MtChimney-Magma	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM106 Trick	271	Room Mossdeep City, from Tate and Liza after defeating them		Hoenn	reward/ground			1	one_time	after tate	16_Pre-Seafloor-Cavern	after tate				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM107 Brave Bird	413	Fortree City, from Winona after defeating her		Hoenn	reward/ground			1	one_time	after winona	13_Pre-Dawn-Lilycove	after winona				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM108 Ice Spinner	789	Mauville City’s Game Corner		Hoenn	reward/ground			1	one_time	location reachability	06_Pre-Wattson	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM109 Bug Bite	450	Route 104, past the tree that needs Cut North of the Woods		Hoenn	reward/ground			1	one_time	location reachability	01_Pre-Roxanne	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM110 Stomping Tantrum	661	Route 103, West of the Trick House and past the trees that need to be Cut		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM111 Fire Punch	7	Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM112 Ice Punch	8	Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM113 Thunder	87	Punch Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM114 Fire Fang	424	Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM115 Ice Fang	423	Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM116 Thunder	87	Fang Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM117 Psychic	94	Fangs Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM118 Poison Fang	305	Route 110, from Rival after defeating them		Hoenn	reward/ground			1	one_time	location reachability	05_Pre-Route110-Rival	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM119 Iron Head	442	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM120 Liquidation	664	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	NONE	
TM	TM121 Hydro Pump	56	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM122 Drill Run	529	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM123 Blaze Kick	299	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM124 Pain Split	220	Route 120, central part of the route, requires Surf		Hoenn	reward/ground			1	one_time	location reachability	13_Pre-Dawn-Lilycove	location reachability				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM125 Zen Headbutt	428	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
TM	TM126 Weather Ball	311	Fallarbor Town, from the former Move Tutor after defeating Flannery		Hoenn	reward/ground			1	one_time	after flannery	09_Pre-TrickHouse	after flannery				UNK		General_Documents___Locations.xlsx	Measured	move name reconstructed from split columns	
