sheet	trainer	header_row	location	variant	battle_format	col	species	held_item	field_effect	mega_ability	is_mega	level	level_mode	nature	ability	moves	n_moves	evs	ivs	species_id	item_id	illegal_moves	speed_stat	moves_source_typo
Hoenn Leaders	WINONA	63		NONE	single	4	Flygon	Life Orb	NONE	NONE	False	68	fixed	Naive	Tinted Lens	Headlong Rush;Draco Meteor;Dual Wingbeat;Rock Slide	4	252 Atk / 6 SpA / 252 Spe	NONE	330.0	479	0	224	NONE
Hoenn Leaders	WINONA	63		NONE	single	6	Frosmoth	Heavy-Duty Boots	NONE	NONE	False	68	fixed	Timid	Ice Scales	Ice Beam;Giga Drain;Bug Buzz;Quiver Dance	4	6 HP / 252 SpA / 252 Spe	NONE	873.0		0	172	NONE
Hoenn Leaders	WINONA	63		NONE	single	8	Thundurus-Therian	Focus Sash	NONE	NONE	False	68	fixed	Timid	Volt Absorb	Thunderbolt;Grass Knot;Sludge Wave;Hidden Power Flying	4	6 HP / 252 SpA / 252 Spe	30 SpA / 30 SpD / 30 Spe	1101.0	481	0	225	NONE
Hoenn Leaders	WINONA	63		NONE	single	10	Altaria-Mega	Altarianite	NONE	NONE	False	68	fixed	Jolly	Pixilate	Earthquake;Dragon Claw;Return;Dragon Dance	4	6 HP / 252 Atk / 252 Spe	NONE	938.0	324	0	194	NONE
Hoenn Leaders	TATE	75		NONE	double	0	Tapu Lele	Terrain Extender	NONE	NONE	False	76	fixed	Timid	Psychic Surge	Moonblast;Psychic;Thunderbolt;Calm Mind	4	6 HP / 252 SpA / 252 Spe	NONE	786.0		0	242	NONE
Hoenn Leaders	TATE	75		NONE	double	2	Espathra	Focus Sash	NONE	NONE	False	76	fixed	Timid	Speed Boost	Lumina Crash;Air Slash;Flash Cannon;Hidden Power Fighting	4	6 HP / 252 SpA / 252 Spe	30 Def / 30 SpA / 30 SpD / 30 Spe	1344.0	481	0	258	NONE
Hoenn Leaders	TATE	75		NONE	double	4	Kangaskhan	Kangaskhanite	NONE	NONE	False	76	fixed	Jolly	Parental Bond	Power-Up Punch;Body Slam;Crunch;Brick Break	4	6 HP / 252 Atk / 252 Spe	NONE	115.0	301	0	234	NONE
Hoenn Leaders	LIZA	75		NONE	double	6	Iron Leaves	Life Orb	NONE	NONE	False	76	fixed	Jolly	Sharpness	Leaf Blade;Psyblade;Sacred Sword;Night Slash	4	6 HP / 252 Atk / 252 Spe	NONE	1407.0	479	0	257	NONE
Hoenn Leaders	LIZA	75		NONE	double	8	Farigiraf	Assault Vest	NONE	NONE	False	76	fixed	Modest	Parental Bond	Expanding Force;Hyper Voice;Dazzling Gleam;Psychic	4	6 HP / 252 SpA / 252 Spe	NONE	1372.0	503	0	167	NONE
Hoenn Leaders	LIZA	75		NONE	double	10	Alakazam-Mega	Alakazite	NONE	NONE	False	76	fixed	Timid	Trace	Expanding Force;Psyshock;Focus Blast;Shadow Ball	4	6 HP / 252 SpA / 252 Spe	NONE	912.0	298	0	334	NONE
Hoenn Leaders	JUAN	87		NONE	single	0	Tapu Fini	Terrain Extender	NONE	NONE	False	82	fixed	Timid	Misty Surge	Moonblast;Ice Beam;Surf;Flip Turn	4	6 HP / 252 SpA / 252 Spe	NONE	788.0		0	243	NONE
Hoenn Leaders	JUAN	87		NONE	single	2	Tinkaton	Shuca Berry	NONE	NONE	False	82	fixed	Jolly	Own Tempo	Gigaton Hammer;Play Rough;Stone Edge;Brick Break	4	6 HP / 252 Atk / 252 Spe	NONE	1347.0	557	0	259	NONE
Hoenn Leaders	JUAN	87		NONE	single	4	Rapidash-Galar	Life Orb	NONE	NONE	False	82	fixed	Jolly	Flash Fire	Flare Blitz;Play Rough;Wild Charge;Swords Dance	4	6 HP / 252 Atk / 252 Spe	NONE	976.0	479	0	315	NONE
Hoenn Leaders	JUAN	87		NONE	single	6	Ursaluna	Assault Vest	NONE	NONE	False	82	fixed	Adamant	Guts	Facade;Close Combat;Headlong Rush;Play Rough	4	6 HP / 252 Atk / 252 Spe	NONE	901.0	503	0	164	NONE
Hoenn Leaders	JUAN	87		NONE	single	8	Flutter Mane	Choice Specs	NONE	NONE	False	82	fixed	Timid	Protosynthesis	Energy Ball;Shadow Ball;Moonblast;Psyshock	4	6 HP / 252 SpA / 252 Spe	NONE	1379.0	443	0	333	NONE
Hoenn Leaders	JUAN	87		NONE	single	10	Diancie-Mega	Diancite	NONE	NONE	False	82	fixed	Timid	Magic Bounce	Moonblast;Diamond Storm;Earth Power;Calm Mind	4	6 HP / 252 SpA / 252 Spe	NONE	952.0	338	0	288	NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	0	Snover	Occa Berry	NONE	NONE	False	Player's Highest Lv -2	scales_to_player	Rash	Snow Warning	Mega Drain;Ice Shard;Icy Wind;Sleep Powder	4	NONE	NONE	459.0	550	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	2	Spheal	Oran Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Calm	Thick Fat	Icy Wind;Brine;Hidden Power Flying;Signal Beam	4	NONE	30 SpA / 30 SpD / 30 Spe	363.0	520	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	4	Delibird	Muscle Band	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Refrigerate	Fake out;Aerial Ace;Ice Shard;Steel Wing	4	NONE	NONE	225.0	475	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	6	Cetoddle	Muscle Band	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Jolly	Slush Rush	Ice Fang;Rock Smash;Bulldoze;Ice Shard	4	NONE	NONE	1363.0	475	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	0	Roserade	Miracle Seed	NONE	NONE	False	Player's Highest Lv	scales_to_player	Timid	Natural Cure	Giga Drain;Sludge;Sleep Powder;Hidden Power Fire	4	NONE	30 Atk / 30 SpA / 30 Spe	407.0	429	2		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	2	Dolliv	Sitrus Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Calm	Harvest	Leech Seed;Protect;Mega Drain;Facade	4	NONE	NONE	1314.0	523	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	4	Sudowoodo	Muscle Band	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Sturdy	Rock Tomb;Bulldoze;Trailblaze;Power-Up Punch	4	NONE	NONE	185.0	475	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	6	Gloom	Eviolite	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Bold	Stench	Mega Drain;Stun Spore;Leech Seed;Synthesis	4	NONE	NONE	44.0	494	2		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	8	Gloom	Eviolite	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Bold	Stench	Sludge;Poison Powder;Leech Seed;Synthesis	4	NONE	NONE	44.0	494	2		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	11	Vileplume	Black Sludge	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Bashful	Effect Spore	Giga Drain;Toxic;Sludge Bomb;Synthesis	4	252 HP / 252 Def / 6 SpA	NONE	45.0	487	1		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	13	Arboliva	Sitrus Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Calm	Harvest	Leech Seed;Protect;Giga Drain;Hyper Voice	4	252 HP / 6 SpA / 252 SpD	NONE	1315.0	523	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	15	Sudowoodo	Muscle Band	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Sturdy	Rock Slide;High Horsepower;Trailblaze;Sucker Punch	4	6 HP / 252 Atk / 252 Spe	NONE	185.0	475	0		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	17	Bellossom	Leftovers	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Bold	Chlorophyll	Giga Drain;Stun Spore;Dazzling Gleam;Synthesis	4	252 HP / 252 Def / 6 SpA	NONE	182.0	472	1		NONE
Sinnoh Leaders	CANDICE	1	Route 116	NONE	single	19	Roserade	NONE	NONE	Technician	True	Player's Highest Lv	scales_to_player	Timid	Technician	Mega Drain;Sludge;Sleep Powder;Hidden Power Fire	4	6 HP / 252 SpA / 252 Spe	30 Atk / 30 SpA / 30 Spe	407.0	NONE	2		NONE
Sinnoh Leaders	FANTINA	26	Route 117	NONE	single	0	Mismagius	Wise Glasses	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Timid	Levitate	Thunderbolt;Shadow Ball;Dazzling Gleam;Mystical Fire	4	6 HP / 252 SpA / 252 Spe	NONE	429.0	476	0		NONE
Sinnoh Leaders	FANTINA	26	Route 117	NONE	single	2	Cursola	Sitrus Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Modest	Unburden	Shadow Ball;Power Gem;Strength Sap;Earth Power	4	6 HP / 252 SpA / 252 Spe	NONE	864.0	523	0		NONE
Sinnoh Leaders	FANTINA	26	Route 117	NONE	single	4	Gallade	Focus Sash	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Jolly	Justified	Zen Headbutt;Brick Break;Bulk Up;Shadow Sneak	4	6 HP / 252 Atk / 252 Spe	NONE	475.0	481	1		NONE
Sinnoh Leaders	FANTINA	26	Route 117	NONE	single	6	Zoroark	Expert Belt	NONE	NONE	False	Player's Highest Lv	scales_to_player	Timid	Illusion	Dark Pulse;Sludge Bomb;Flamethrower;Extrasensory	4	6 HP / 252 SpA / 252 Spe	NONE	571.0	477	1		NONE
Sinnoh Leaders	FANTINA	26	Route 117	NONE	single	8	Banette-Mega	Banettite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Jolly	Prankster	Knock Off;Shadow Claw;Shadow Sneak;Return	4	6 HP / 252 Atk / 252 Spe	NONE	939.0	325	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	0	Meloetta-Pirouette	Expert Belt	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Hasty	Serene Grace	Relic Song;Drain Punch;Psychic;Aura Sphere	4	6 Atk / 252 SpA / 252 Spe	NONE	1107.0	477	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	2	Pangoro	Punching Glove	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Iron Fist	Drain Punch;Knock Off;Fire Punch;Thunder Punch	4	6 HP / 252 Atk / 252 Spe	NONE	675.0	902	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	4	Garganacl	Leftovers	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Purifying Salt	Salt Cure;Earthquake;Hammer Arm;Recover	4	6 HP / 252 Atk / 252 Spe	NONE	1322.0	472	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	6	Lilligant-Hisui	Focus Sash	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Hustle	Leaf Blade;Drain Punch;Facade;Victory Dance	4	6 HP / 252 Atk / 252 Spe	NONE	1001.0	481	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	8	Lucario-Mega	Lucarionite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Timid	Adaptability	Aura Sphere;Flash Cannon;Vacuum Wave;Dragon Pulse	4	6 HP / 252 SpA / 252 Spe	NONE	948.0	334	0		NONE
Sinnoh Leaders	MAYLENE	38	Jagged Pass	NONE	single	10	Kingambit	Life Orb	NONE	NONE	False	Player's Highest Lv	scales_to_player	Adamant	Supreme Overlord	Swords Dance;Knock Off;Iron Head;Sucker Punch	4	6 HP / 252 Atk / 252 Spe	NONE	1375.0	479	0		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	0	Politoed	Damp Rock	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Modest	Drizzle	Scald;Ice Beam;Haze;Psychic	4	6 HP / 252 SpA / 252 Spe	NONE	186.0	447	1		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	2	Gyarados	Focus Sash	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Jolly	Moxie	Aqua Tail;Earthquake;Ice Fang;Dragon Dance	4	6 HP / 252 Atk / 252 Spe	NONE	130.0	481	0		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	4	Kingdra	Life Orb	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Timid	Swift Swim	Dragon Pulse;Surf;Hurricane;Ice Beam	4	6 HP / 252 SpA / 252 Spe	NONE	230.0	479	0		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	6	Toedscruel	Assault Vest	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Timid	Clear Body	Sludge Bomb;Flash Cannon;Earth Power;Energy Ball	4	6 HP / 252 SpA / 252 Spe	NONE	1337.0	503	0		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	8	Urshifu-Rapid-Strike	Expert Belt	NONE	NONE	False	Player's Highest Lv	scales_to_player	Jolly	Unseen Fist	Surging Strikes;Drain Punch;Poison Jab;Bulk Up	4	6 HP / 252 Atk / 252 Spe	NONE	1230.0	477	0		NONE
Sinnoh Leaders	WAKE	50	Route 118	NONE	single	10	Lapras-Mega	Laprasite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Modest	Liquid Voice	Boomburst;Dragon Pulse;Thunderbolt;Ice Beam	4	6 HP / 252 SpA / 252 Spe	NONE	1503.0	984	0		NONE
Sinnoh Leaders	BYRON	62	Route 121	NONE	single	0	Skarmory	Rocky Helmet	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Impish	Sturdy	Stealth Rock;Whirlwind;Drill Peck;Iron Head	4	252 HP / 6 Atk / 252 Def	NONE	227.0	496	0		NONE
Sinnoh Leaders	RAIN BATTLE	62		NONE	single	2	Polteageist	Focus Sash	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Timid	Heatproof	Shadow Ball;Giga Drain;Stored Power;Shell Smash	4	6 HP / 252 SpA / 252 Spe	NONE	855.0	481	0		NONE
Sinnoh Leaders	RAIN BATTLE	62		NONE	single	4	Orthworm	Sitrus Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Impish	Earth Eater	Shed Tail;Body Press;Iron Head;Earthquake	4	252 HP / 6 Atk / 252 Def	NONE	1357.0	523	0		NONE
Sinnoh Leaders	RAIN BATTLE	62		NONE	single	6	Scizor	Life Orb	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Jolly	Technician	Bullet Punch;Bug Bite;Swords Dance;Dual Wingbeat	4	6 HP / 252 Atk / 252 Spe	NONE	212.0	479	0		NONE
Sinnoh Leaders	RAIN BATTLE	62		NONE	single	8	Melmetal	Assault Vest	NONE	NONE	False	Player's Highest Lv	scales_to_player	Adamant	Iron Fist	Double Iron Bash;Earthquake;Thunder Punch;Ice Punch	4	6 HP / 252 Atk / 252 Spe	NONE	809.0	503	0		NONE
Sinnoh Leaders	RAIN BATTLE	62		NONE	single	10	Copperajah-Mega	Copperajite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Brave	Sheer Force	Iron Head;Superpower;Play Rough;High Horsepower	4	252 HP / 252 Atk / 6 Def	NONE	1523.0	995	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	0	Hippowdon	Smooth Rock	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Sand Stream	Earthquake;Rock Slide;Roar;Stealth Rock	4	6 HP / 252 Atk / 252 Def	NONE	450.0	449	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	2	Landorus	Life Orb	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Naive	Sheer Force	Sandsear Storm;Stone Edge;Sludge Wave;Psychic	4	6 Atk / 252 SpA / 252 Spe	NONE	645.0	479	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	4	Great Tusk	Booster Energy	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Protosynthesis	Headlong Rush;Close Combat;Knock Off;Ice Spinner	4	6 HP / 252 Atk / 252 Spe	NONE	1376.0	906	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	6	Rampardos	Life Orb	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Sheer Force	Rock Slide;Fire Punch;Rock Polish;Zen Headbutt	4	6 HP / 252 Atk / 252 Spe	NONE	409.0	479	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	8	Cacturne	Focus Sash	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Hasty	Sand Rush	Energy Ball;Sucker Punch;Dark Pulse;Destiny Bond	4	6 Atk / 252 SpA / 252 Spe	NONE	332.0	481	0		NONE
Sinnoh Leaders	ROARK	74	Route 125	NONE	single	10	Steelix-Mega	Steelixite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Adamant	Heatproof	Earthquake;Stone Edge;Heavy Slam;Crunch	4	252 HP / 6 Atk / 252 Def	NONE	922.0	308	0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	0	Miraidon	Terrain Extender	NONE	NONE	False	Player's Highest Lv	scales_to_player	Timid	Hadron Engine	Electro Drift;Dragon Pulse;Overheat;Taunt	4	6 HP / 252 SpA / 252 Spe	NONE	1401.0		0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	2	Raichu-Alola	Choice Specs	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Modest	Surge Surfer	Psychic;Rising Voltage;Thunderbolt;Surf	4	6 HP / 252 SpA / 252 Spe	NONE	958.0	443	0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	4	Iron Hands	Booster Energy	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Quark Drive	Fake Out;Supercell Slam;Close Combat;Heavy Slam	4	6 HP / 252 Atk / 252 Spe	NONE	1384.0	906	0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	6	Dodrio	Life Orb	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Jolly	Rock Head	Brave Bird;Double-Edge;Quick Attack;Jump Kick	4	6 HP / 252 Atk / 252 Spe	NONE	85.0	479	0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	8	Zeraora	Assault Vest	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Adamant	Volt Absorb	Plasma Fists;Aerial Ace;Fake Out;Facade	4	6 HP / 252 Atk / 252 Spe	NONE	807.0	503	0		NONE
Sinnoh Leaders	VOLKNER	86	Evergrande City	NONE	single	10	Toxtricity-Mega	Toxtricitite	NONE	NONE	False	Player's Highest Lv	scales_to_player	Timid	Punk Rock	Sludge Wave;Boomburst;Hidden Power Grass;Overdrive	4	6 HP / 252 SpA / 252 Spe	30 Atk / 30 SpA	1518.0	992	0		NONE
Rivals	DAWN	16	Route 104	NONE	single	0	Buneary	Oran Berry	NONE	NONE	False	Player's Highest Lv -3	scales_to_player	Adamant	Limber	Fake Out;Quick Attack;Mach Punch	3	NONE	NONE	427.0	520	0		NONE
Rivals	DAWN	16	Route 104	NONE	single	2	Noibat	Oran Berry	NONE	NONE	False	Player's Highest Lv -2	scales_to_player	Timid	Infiltrator	Gust;Absorb;Twister	3	NONE	NONE	714.0	520	3		NONE
Rivals	DAWN	16	Route 104	NONE	single	4	Piplup	Oran Berry	NONE	NONE	False	Player's Highest Lv -1	scales_to_player	Serious	Torrent	Bubble Beam;Aqua Jet;Baby-Doll Eyes;Peck	4	NONE	NONE	393.0	520	1		NONE
Rivals	DAWN	16	Route 104	NONE	single	0	Golbat	Muscle Band	NONE	NONE	False	Player's Highest Lv -2	scales_to_player	Jolly	Sniper	Wing Attack;Cross Poison;Bite;U-turn	4	NONE	NONE	42.0	475	1		NONE
Rivals	DAWN	16	Route 104	NONE	single	2	Hattrem	Wise Glasses	NONE	NONE	False	Player's Highest Lv -2	scales_to_player	Modest	Magic Bounce	Draining Kiss;Psybeam;Thunder Wave;Life Dew	4	NONE	NONE	857.0	476	0		NONE
